Code	Strata	Date	Area	Trap	Temperature	Samp.day
C1NF4_42675	Canopy	11/01/16	NF4	Can1	20.0	1
C2NF4_42675	Canopy	11/01/16	NF4	Can2	13.7	1
C3NF4_42675	Canopy	11/01/16	NF4	Can3	22.6	1
C4NF4_42675	Canopy	11/01/16	NF4	Can4	27.2	1
C5NF4_42675	Canopy	11/01/16	NF4	Can5	22.2	1
C1NF5_42675	Canopy	11/01/16	NF5	Can1	19.7	1
C2NF5_42675	Canopy	11/01/16	NF5	Can2	13.5	1
C3NF5_42675	Canopy	11/01/16	NF5	Can3	24.0	1
C4NF5_42675	Canopy	11/01/16	NF5	Can4	25.0	1
C5NF5_42675	Canopy	11/01/16	NF5	Can5	20.5	1
C1NF6_42675	Canopy	11/01/16	NF6	Can1	23.6	1
C2NF6_42675	Canopy	11/01/16	NF6	Can2	27.0	1
C3NF6_42675	Canopy	11/01/16	NF6	Can3	25.6	1
C4NF6_42675	Canopy	11/01/16	NF6	Can4	27.9	1
C5NF6_42675	Canopy	11/01/16	NF6	Can5	24.3	1
U1NF4_42675	Understory	11/01/16	NF4	Und1	18.4	1
U2NF4_42675	Understory	11/01/16	NF4	Und2	9.0	1
U3NF4_42675	Understory	11/01/16	NF4	Und3	17.7	1
U4NF4_42675	Understory	11/01/16	NF4	Und4	21.6	1
U5NF4_42675	Understory	11/01/16	NF4	Und5	19.5	1
U1NF5_42675	Understory	11/01/16	NF5	Und1	18.7	1
U2NF5_42675	Understory	11/01/16	NF5	Und2	12.9	1
U3NF5_42675	Understory	11/01/16	NF5	Und3	22.5	1
U4NF5_42675	Understory	11/01/16	NF5	Und4	21.7	1
U5NF5_42675	Understory	11/01/16	NF5	Und5	20.6	1
U1NF6_42675	Understory	11/01/16	NF6	Und1	22.5	1
U2NF6_42675	Understory	11/01/16	NF6	Und2	28.5	1
U3NF6_42675	Understory	11/01/16	NF6	Und3	29.1	1
U4NF6_42675	Understory	11/01/16	NF6	Und4	27.2	1
U5NF6_42675	Understory	11/01/16	NF6	Und5	21.7	1
C1NF1_42676	Canopy	11/02/16	NF1	Can1	13.8	1
C2NF1_42676	Canopy	11/02/16	NF1	Can2	11.8	1
